State, Abbrev, Capital, Founded, Capital Population
Alabama,AL,Montgomery,1819, 198218
Alaska,AK,Juneau,1960, 31275
Arizona,AZ,Phoenix,1912, 1660272
Arkansas,AR,Little Rock,1836, 193524
California,CA,Sacramento,1850, 508524
Colorado,CO,Denver,1876, 716492
Connecticut,CT,Hartford,1788, 124775
Delaware,DE,Dover,1787, 36047
Florida,FL,Tallahassee,1845, 181376
Georgia,GA,Atlanta,1788, 498044
Hawaii,HI,Honolulu,1959, 359870
Idaho,ID,Boise,1890, 205671
Illinois,IL,Springfield,1818, 116250
Indiana,IN,Indianapolis,1816, 867125
Iowa,IA,Des Moines,1846, 203433
Kansas,KS,Topeka,1861, 127473
Kentucky,KY,Frankfort,1792, 25527
Louisiana,LA,Baton Rouge,1812, 225374
Maine,ME,Augusta,1820, 19136
Maryland,MD,Annapolis,1788, 38394
Massachusetts,MA,Boston,1788, 694483
Michigan,MI,Lansing,1837, 114297
Minnesota,MN,Saint Paul,1858, 285068
Mississippi,MS,Jackson,1817, 173514
Missouri,MO,Jefferson City,1821, 43079
Montana,MT,Helena,1889, 28190
Nebraska,NE,Lincoln,1867, 258379
Nevada,NV,Carson City,1864, 55274
New Hampshire,NH,Concord,1788, 42695
New Jersey,NJ,Trenton,1787, 84913
New Mexico,NM,Santa Fe,1912, 75764
New York,NY,Albany,1788, 97856
North Carolina,NC,Raleigh,1789, 403892
North Dakota,ND,Bismarck,1889, 61272
Ohio,OH,Columbus,1803, 892553
Oklahoma,OK,Oklahoma City,1907, 649021
Oregon,OR,Salem,1859, 154637
Pennsylvania,PA,Harrisburg,1787, 49528
Rhode Island,RI,Providence,1790, 178042
South Carolina,SC,Columbia,1788, 129272
South Dakota,SD,Pierre,1889, 13646
Tennessee,TN,Nashville,1796, 691243
Texas,TX,Austin,1845, 964254
Utah,UT,Salt Lake City,1896, 186440
Vermont,VT,Montpelier,1791, 7855
Virginia,VA,Richmond,1788, 204214
Washington,WA,Olympia,1889, 46478
West Virginia,WV,Charleston,1863, 51400
Wisconsin,WI,Madison,1848, 233209
Wyoming,WY,Cheyenne,1890, 59466
